res_id	family	group	tier	rarity	name	icon	amount	where
3130052	Combatant Promotion (Manual)	Controller	Advanced	Rare	Advanced Controller Manual	icon_item_char_ascend_controller_2.png	2	items
3130053	Combatant Promotion (Manual)	Controller	Premium	Legendary	Premium Controller Manual	icon_item_char_ascend_controller_3.png	0	items
3140001	Partner Promotion (Certificate)	Striker	Common	Common	Common Striker Certificate	icon_item_supporter_classup_striker_1.png	0	items
3140002	Partner Promotion (Certificate)	Striker	Advanced	Rare	Advanced Striker Certificate	icon_item_supporter_classup_striker_2.png	1	items
3140003	Partner Promotion (Certificate)	Striker	Premium	Legendary	Premium Striker Certificate	icon_item_supporter_classup_striker_3.png	15	items
3140011	Partner Promotion (Certificate)	Vanguard	Common	Common	Common Vanguard Certificate	icon_item_supporter_classup_defender_1.png	0	items
3140012	Partner Promotion (Certificate)	Vanguard	Advanced	Rare	Advanced Vanguard Certificate	icon_item_supporter_classup_defender_2.png	40	items
3140013	Partner Promotion (Certificate)	Vanguard	Premium	Legendary	Premium Vanguard Certificate	icon_item_supporter_classup_defender_3.png	22	items
3140021	Partner Promotion (Certificate)	Hunter	Common	Common	Common Hunter Certificate	icon_item_supporter_classup_hunter_1.png	0	items
3140022	Partner Promotion (Certificate)	Hunter	Advanced	Rare	Advanced Hunter Certificate	icon_item_supporter_classup_hunter_2.png	1	items
3140023	Partner Promotion (Certificate)	Hunter	Premium	Legendary	Premium Hunter Certificate	icon_item_supporter_classup_hunter_3.png	0	items
3140031	Partner Promotion (Certificate)	Ranger	Common	Common	Common Ranger Certificate	icon_item_supporter_classup_ranger_1.png	1	items
3140032	Partner Promotion (Certificate)	Ranger	Advanced	Rare	Advanced Ranger Certificate	icon_item_supporter_classup_ranger_2.png	10	items
3140033	Partner Promotion (Certificate)	Ranger	Premium	Legendary	Premium Ranger Certificate	icon_item_supporter_classup_ranger_3.png	8	items
3140041	Partner Promotion (Certificate)	Psionic	Common	Common	Common Psionic Certificate	icon_item_supporter_classup_psionics_1.png	0	items
3140042	Partner Promotion (Certificate)	Psionic	Advanced	Rare	Advanced Psionic Certificate	icon_item_supporter_classup_psionics_2.png	54	items
3140043	Partner Promotion (Certificate)	Psionic	Premium	Legendary	Premium Psionic Certificate	icon_item_supporter_classup_psionics_3.png	6	items
3140051	Partner Promotion (Certificate)	Controller	Common	Common	Common Controller Certificate	icon_item_supporter_classup_controller_1.png	0	items
3140052	Partner Promotion (Certificate)	Controller	Advanced	Rare	Advanced Controller Certificate	icon_item_supporter_classup_controller_2.png	0	items
3140053	Partner Promotion (Certificate)	Controller	Premium	Legendary	Premium Controller Certificate	icon_item_supporter_classup_controller_3.png	0	items
3920026	period item			Mythic	Time-Limited Command Delegation Module - 14 Days	currency_chaos_delegation_module.png		
