res_id	where	amount	Name	Type	Note
9300122	items	1			Galactic Medal candidate
9300126	items	1			Galactic Medal candidate
9300132	items	1			Galactic Medal candidate
9300135	items	1			Galactic Medal candidate
9300136	items	1			Galactic Medal candidate
9300137	items	1			Galactic Medal candidate
9300138	items	1			Galactic Medal candidate
9300165	items	1			Galactic Medal candidate
9300176	items	1			Galactic Medal candidate
9300177	items	1			Galactic Medal candidate
9300182	items	1			Galactic Medal candidate
9300183	items	1			Galactic Medal candidate
9300184	items	1			Galactic Medal candidate
9300185	items	1			Galactic Medal candidate
9300186	items	1			Galactic Medal candidate
9300187	items	1			Galactic Medal candidate
9300188	items	1			Galactic Medal candidate
9300189	items	1			Galactic Medal candidate
9300190	items	1			Galactic Medal candidate
9300191	items	1			Galactic Medal candidate
9300192	items	1			Galactic Medal candidate
9300193	items	1			Galactic Medal candidate
9300194	items	1			Galactic Medal candidate
9300195	items	1			Galactic Medal candidate
9300196	items	1			Galactic Medal candidate
9300197	items	1			Galactic Medal candidate
9300198	items	1			Galactic Medal candidate
9300200	items	1			Galactic Medal candidate
9300204	items	1			Galactic Medal candidate
9300205	items	1			Galactic Medal candidate
9300210	items	1			Galactic Medal candidate
9300211	items	1			Galactic Medal candidate
9300212	items	1			Galactic Medal candidate
9300213	items	1			Galactic Medal candidate
9300214	items	1			Galactic Medal candidate
9300217	items	1			Galactic Medal candidate
9300218	items	1			Galactic Medal candidate
9300223	items	1			Galactic Medal candidate
9300224	items	1			Galactic Medal candidate
9300226	items	1			Galactic Medal candidate
9300231	items	1			Galactic Medal candidate
9300232	items	1			Galactic Medal candidate
9300233	items	1			Galactic Medal candidate
9300235	items	1			Galactic Medal candidate
9300236	items	1			Galactic Medal candidate
9300237	items	1			Galactic Medal candidate
9300238	items	1			Galactic Medal candidate
9300239	items	1			Galactic Medal candidate
9300240	items	1			Galactic Medal candidate
9300241	items	1			Galactic Medal candidate
9300242	items	1			Galactic Medal candidate
9300243	items	1			Galactic Medal candidate
9300244	items	1			Galactic Medal candidate
9300245	items	1			Galactic Medal candidate
9300246	items	1			Galactic Medal candidate
9300247	items	1			Galactic Medal candidate
9300248	items	1			Galactic Medal candidate
9300249	items	1			Galactic Medal candidate
9300250	items	1			Galactic Medal candidate
9300251	items	1			Galactic Medal candidate
9300252	items	1			Galactic Medal candidate
9300253	items	1			Galactic Medal candidate
9300254	items	1	Shattered Light and Claw	Galactic Medal	
9300255	items	1			Galactic Medal candidate
9300256	items	1			Galactic Medal candidate
9300257	items	1			Galactic Medal candidate
9300258	items	1			Galactic Medal candidate
9300260	items	1			Galactic Medal candidate
9300261	items	1	Petite Anis	Sticker	or Perfect Taxidermy - Galactic Medal
9300262	items	1			Galactic Medal candidate
9300263	items	1			Galactic Medal candidate
9300264	items	1			Galactic Medal candidate
9300265	items	1			Galactic Medal candidate
9300266	items	1			Galactic Medal candidate
9300267	items	1			Galactic Medal candidate
9300268	items	1			Galactic Medal candidate
9300269	items	1			Galactic Medal candidate
9300270	items	1			Galactic Medal candidate
9300271	items	1	Perfect Taxidermy	Galactic Medal	or Petite Anis Sticker
9300273	items	1			Galactic Medal candidate
9300278	items	1			Galactic Medal candidate
9300279	items	1			Galactic Medal candidate
9300286	items	1			Galactic Medal candidate
9300287	items	1			Galactic Medal candidate
9300288	items	1			Galactic Medal candidate
9300289	items	1			Galactic Medal candidate
9300290	items	1			Galactic Medal candidate
9400008	items	1			Sticker candidate
9400009	items	1			Sticker candidate
9400010	items	1			Sticker candidate
9400011	items	1			Sticker candidate
9400012	items	1			Sticker candidate
9400013	items	1			Sticker candidate
9400014	items	1			Sticker candidate
9400016	items	1			Sticker candidate
9400017	items	1			Sticker candidate
9400018	items	1			Sticker candidate
9400019	items	1			Sticker candidate
9400051	items	1			Sticker candidate
9400052	items	1			Sticker candidate
9400053	items	1			Sticker candidate
9400054	items	1			Sticker candidate
9400055	items	1			Sticker candidate
9400056	items	1			Sticker candidate
9400057	items	1			Sticker candidate
9400058	items	1			Sticker candidate
9400059	items	1			Sticker candidate
9400061	items	1			Sticker candidate
9400062	items	1			Sticker candidate
9400063	items	1			Sticker candidate
9400064	items	1			Sticker candidate
9400065	items	1			Sticker candidate
9400072	items	1			Sticker candidate
9400084	items	1		Sticker	Bartender Event sticker reward
9400085	items	1		Sticker	Bartender Event sticker reward
9400086	items	1		Sticker	Bartender Event sticker reward
9400087	items	1		Sticker	Bartender Event sticker reward
9400088	items	1		Sticker	Bartender Event sticker reward
9400089	items	1		Sticker	Bartender Event sticker reward
9400090	items	1		Sticker	Bartender Event sticker reward
9400091	items	1		Sticker	Bartender Event sticker reward
9400092	items	1		Sticker	Bartender Event sticker reward
9400093	items	1		Sticker	Bartender Event sticker reward
9400094	items	1		Sticker	Bartender Event sticker reward
9400095	items	1		Sticker	Bartender Event sticker reward
9400096	items	1		Sticker	Bartender Event sticker reward
9400097	items	1		Sticker	Bartender Event sticker reward
9400098	items	1		Sticker	Bartender Event sticker reward
9400099	items	1		Sticker	Bartender Event sticker reward
9400100	items	1		Sticker	Bartender Event sticker reward
9400101	items	1		Sticker	Bartender Event sticker reward
9400102	items	1		Sticker	Bartender Event sticker reward
9400103	items	1		Sticker	Bartender Event sticker reward
9900007	items	1			
